employment_rate_overall,employment_rate_ft_perm,gross_monthly_median,salary_iqr,year,university,school,degree,career_value_index,cluster,pca_1,pca_2
97.4,96.1,3350.0,1100.0,2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,0.7650911044359007,2,1.0060150420620293,-0.661466138381958
97.1,95.7,2700.0,200.0,2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),0.753639781584559,2,-0.09171492268875817,-2.3298458359284333
90.9,85.7,3000.0,800.0,2013,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),0.676067274330851,2,-0.3842117439941164,-0.6367849930987449
87.5,87.5,3400.0,1100.0,2013,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,0.671095290229687,2,-0.10859935239220564,0.2174777048444835
95.3,95.3,3500.0,716.0,2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,0.7653416874990366,2,0.6317717901241693,-0.9552997358870715
81.3,68.8,3125.0,472.0,2013,Nanyang Technological University,College of Engineering,Bioengineering,0.5670892834778443,3,-2.003695681286389,0.01822002620068909
87.3,85.1,3200.0,800.0,2013,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,0.6594751660307496,2,-0.5661381436608138,-0.26373023253877526
90.3,88.2,3175.0,600.0,2013,Nanyang Technological University,College of Engineering,Computer Engineering,0.6943716348789548,2,-0.3553279479135677,-0.8326595954177096
94.8,93.8,3100.0,380.0,2013,Nanyang Technological University,College of Engineering,Civil Engineering,0.7461760887644932,2,0.03259999716463617,-1.6211349967233235
92.1,88.5,3125.0,600.0,2013,Nanyang Technological University,College of Engineering,Computer Science,0.7050715351828515,2,-0.23190342369536557,-0.986775461291982
91.0,88.7,3100.0,440.0,2013,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,0.7013294954243277,2,-0.4403365644935592,-1.165264012702061
84.0,81.5,3000.0,300.0,2013,Nanyang Technological University,College of Engineering,Environmental Engineering,0.6280527107197678,3,-1.461778246535971,-0.8015257164970276
85.7,79.6,3200.0,450.0,2013,Nanyang Technological University,College of Engineering,Information Engineering and Media,0.638532942206442,3,-1.1698570163413111,-0.5184626286761409
82.5,78.9,3000.0,500.0,2013,Nanyang Technological University,College of Engineering,Materials Engineering,0.6037492533670681,3,-1.5484932395778106,-0.3565950078748571
91.6,89.5,3100.0,500.0,2013,Nanyang Technological University,College of Engineering,Mechanical Engineering,0.7066006300388212,2,-0.31685168095282273,-1.1385930405372722
95.6,93.3,3000.0,350.0,2013,Nanyang Technological University,College of Engineering,Maritime Studies,0.7457488422350684,2,-0.010611975766008199,-1.7664461083515846
81.6,61.4,2500.0,600.0,2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",0.5098451472912798,3,-2.603692589039182,-0.03579527895724356
85.1,80.5,3000.0,700.0,2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,0.6216036035656272,3,-1.13354630319678,-0.2785210650523596
89.4,79.6,3000.0,550.0,2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,0.651115694517308,2,-0.9344018046501751,-0.7407556835279733
89.9,83.5,3000.0,745.0,2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,0.6630878190455838,2,-0.5943878663020913,-0.5953331332061753
82.7,67.3,3100.0,600.0,2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,0.5667108148063786,3,-1.8805997933246388,0.13304779725428298
90.6,81.3,2625.0,543.0,2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,0.6472540598963106,2,-1.0163520439833387,-1.1131401786446657
