year,record_count,median_overall_employment,median_ft_perm_employment,median_gross_salary,median_salary_iqr,median_career_value_index
2013,85,90.6,87.5,3100.0,600.0,0.68781783210455
2014,109,90.9,87.0,3200.0,600.0,0.6968828229158714
2015,123,91.8,85.9,3300.0,625.0,0.6991092572779762
2016,121,90.2,80.7,3350.0,663.0,0.6742302948042946
2017,132,92.0,85.0,3395.0,700.0,0.6917487340613189
2018,137,92.3,85.1,3500.0,710.0,0.7074001877204703
2019,140,92.2,85.3,3600.0,700.0,0.7146607825825271
2020,139,94.9,70.5,3656.0,772.0,0.6828462826339333
2021,135,95.85,87.5,3700.0,745.0,0.7523395050649235
2022,141,94.05,89.4,4037.5,950.0,0.760847399149106
2023,139,89.25,83.85,4200.0,835.5,0.7122661030393546
2024,149,88.9,80.7,4400.0,900.0,0.7050457009572177
