Target Variable,Model,Total Records Used,Training Records,Testing Records,Accuracy,Precision,Recall,F1 Score,ROC AUC
high_employment,Baseline Majority Class,1445,1083,362,0.7486187845303868,0.0,0.0,0.0,0.5
high_employment,Logistic Regression,1445,1083,362,0.988950276243094,0.978021978021978,0.978021978021978,0.978021978021978,0.9988240541746077
high_employment,Decision Tree,1445,1083,362,0.9585635359116023,0.9418604651162791,0.8901098901098901,0.9152542372881356,0.9636267791249341
high_employment,Random Forest,1445,1083,362,0.9475138121546961,0.9864864864864865,0.8021978021978022,0.8848484848484849,0.9821580633388751
high_salary,Baseline Majority Class,1445,1083,362,0.7486187845303868,0.0,0.0,0.0,0.5
high_salary,Logistic Regression,1445,1083,362,0.9088397790055248,0.8020833333333334,0.8461538461538461,0.8235294117647058,0.9585174972628847
high_salary,Decision Tree,1445,1083,362,0.861878453038674,0.7029702970297029,0.7802197802197802,0.7395833333333334,0.9053160861278942
high_salary,Random Forest,1445,1083,362,0.925414364640884,0.9,0.7912087912087912,0.8421052631578947,0.9598556425124691
high_career_value,Baseline Majority Class,1445,1083,362,0.7486187845303868,0.0,0.0,0.0,0.5
high_career_value,Logistic Regression,1445,1083,362,0.994475138121547,1.0,0.978021978021978,0.9888888888888889,0.999959450143952
high_career_value,Decision Tree,1445,1083,362,0.9696132596685083,0.9444444444444444,0.9340659340659341,0.9392265193370166,0.9588216211832447
high_career_value,Random Forest,1445,1083,362,0.9751381215469613,0.9659090909090909,0.9340659340659341,0.9497206703910615,0.996431612667775
