year,university,record_count,complete_case_records,complete_case_percent
2013,Nanyang Technological University,34,32,94.12
2013,National University of Singapore,39,33,84.62
2013,Singapore Management University,12,12,100.0
2014,Nanyang Technological University,34,33,97.06
2014,National University of Singapore,39,34,87.18
2014,Singapore Institute of Technology,24,24,100.0
2014,Singapore Management University,12,12,100.0
2015,Nanyang Technological University,39,33,84.62
2015,National University of Singapore,40,36,90.0
2015,Singapore Institute of Technology,28,25,89.29
2015,Singapore Management University,12,12,100.0
2015,Singapore University of Technology and Design,4,3,75.0
2016,Nanyang Technological University,39,34,87.18
2016,National University of Singapore,38,34,89.47
2016,Singapore Institute of Technology,28,26,92.86
2016,Singapore Management University,12,12,100.0
2016,Singapore University of Technology and Design,4,3,75.0
2017,Nanyang Technological University,43,35,81.4
2017,National University of Singapore,43,37,86.05
2017,Singapore Institute of Technology,30,28,93.33
2017,Singapore Management University,12,12,100.0
2017,Singapore University of Technology and Design,4,3,75.0
2018,Nanyang Technological University,44,37,84.09
2018,National University of Singapore,41,33,80.49
2018,Singapore Institute of Technology,33,32,96.97
2018,Singapore Management University,12,12,100.0
2018,Singapore University of Social Sciences,3,3,100.0
2018,Singapore University of Technology and Design,4,4,100.0
2019,Nanyang Technological University,45,38,84.44
2019,National University of Singapore,39,36,92.31
2019,Singapore Institute of Technology,36,31,86.11
2019,Singapore Management University,12,12,100.0
2019,Singapore University of Social Sciences,4,4,100.0
2019,Singapore University of Technology and Design,4,4,100.0
2020,Nanyang Technological University,40,40,100.0
2020,National University of Singapore,39,39,100.0
2020,Singapore Institute of Technology,37,37,100.0
2020,Singapore Management University,12,12,100.0
2020,Singapore University of Social Sciences,7,7,100.0
2020,Singapore University of Technology and Design,4,4,100.0
2021,Nanyang Technological University,39,39,100.0
2021,National University of Singapore,39,38,97.44
2021,Singapore Institute of Technology,33,33,100.0
2021,Singapore Management University,12,12,100.0
2021,Singapore University of Social Sciences,8,8,100.0
2021,Singapore University of Technology and Design,4,4,100.0
2022,Nanyang Technological University,41,41,100.0
2022,National University of Singapore,40,38,95.0
2022,Singapore Institute of Technology,35,35,100.0
2022,Singapore Management University,12,12,100.0
2022,Singapore University of Social Sciences,9,8,88.89
2022,Singapore University of Technology and Design,4,4,100.0
2023,Nanyang Technological University,40,39,97.5
2023,National University of Singapore,41,37,90.24
2023,Singapore Institute of Technology,34,34,100.0
2023,Singapore Management University,14,14,100.0
2023,Singapore University of Social Sciences,10,8,80.0
2024,Nanyang Technological University,41,40,97.56
2024,National University of Singapore,40,38,95.0
2024,Singapore Institute of Technology,37,37,100.0
2024,Singapore Management University,16,16,100.0
2024,Singapore University of Social Sciences,10,9,90.0
2024,Singapore University of Technology and Design,5,3,60.0
