university,school,record_count,complete_case_records,complete_case_percent
Nanyang Technological University,College of Engineering,189,159,84.13
Nanyang Technological University,"College of Humanities, Arts & Social Sciences",116,115,99.14
Singapore Institute of Technology,Singapore Institute of Technology (SIT),77,77,100.0
National University of Singapore,Faculty of Engineering,66,65,98.48
National University of Singapore,Faculty of Science,65,49,75.38
National University of Singapore,School of Computing,61,43,70.49
National University of Singapore,NUS Business School,51,51,100.0
Nanyang Technological University,College of Sciences,50,46,92.0
Nanyang Technological University,College of Business (Nanyang Business School),48,48,100.0
Singapore Institute of Technology,DigiPen Institute of Technology,42,39,92.86
National University of Singapore,College of Design and Engineering,38,37,97.37
National University of Singapore,School of Design & Environment,36,34,94.44
National University of Singapore,Faculty of Arts & Social Sciences,36,36,100.0
Singapore Institute of Technology,Newcastle University,34,34,100.0
Singapore Institute of Technology,University of Glasgow,34,34,100.0
