Variable,Valid Count,Missing Count,Missing Percent,Mean,Median,Standard Deviation,Minimum,25th Percentile,75th Percentile,Maximum,Skewness,IQR Outlier Count,IQR Lower Bound,IQR Upper Bound
employment_rate_overall,1445,105,6.77,91.11730103806228,92.3,6.90811415561542,55.2,87.0,96.6,100.0,-0.9431571446351001,22,72.60000000000001,110.99999999999999
employment_rate_ft_perm,1445,105,6.77,81.74581314878894,84.7,14.230631663465951,14.3,74.1,92.7,100.0,-1.1089317390699232,31,46.19999999999998,120.60000000000002
employment_premium,1445,105,6.77,9.371487889273357,6.0,10.446508823878295,0.0,2.200000000000003,13.0,71.4,2.086269039709845,82,-13.999999999999993,29.199999999999996
basic_monthly_mean,1445,105,6.77,3819.41107266436,3646.0,766.3732256087388,2000.0,3277.0,4211.0,7051.0,1.1123104806185669,42,1876.0,5612.0
basic_monthly_median,1445,105,6.77,3693.1446366782006,3500.0,721.9265779242301,1750.0,3200.0,4000.0,7000.0,1.2019605981491523,55,2000.0,5200.0
gross_monthly_mean,1445,105,6.77,3944.990311418685,3772.0,794.281945388621,2100.0,3389.0,4351.0,7244.0,1.1319325318345848,41,1946.0,5794.0
gross_monthly_median,1445,105,6.77,3790.2989619377163,3600.0,749.2947121690618,1800.0,3300.0,4107.0,7000.0,1.188596961316797,70,2089.5,5317.5
gross_mthly_25_percentile,1445,105,6.77,3441.0006920415226,3350.0,634.1928961293289,1500.0,3000.0,3775.0,6500.0,1.036889821128317,42,1837.5,4937.5
gross_mthly_75_percentile,1445,105,6.77,4267.420761245675,4000.0,925.2732763117937,2500.0,3600.0,4750.0,9967.0,1.316345808256498,45,1875.0,6475.0
salary_iqr,1445,105,6.77,826.4200692041522,730.0,468.6143791013558,0.0,510.0,1000.0,5817.0,2.7105211208188886,51,-225.0,1735.0
salary_premium,1445,105,6.77,154.69134948096885,117.0,215.6936056972717,-491.0,35.0,225.0,2139.0,2.337795250727286,105,-250.0,510.0
stability_score,1445,105,6.77,0.8579301926759235,0.8745057589822933,0.08055946004836785,0.0,0.828090080797662,0.9123259412068077,1.0,-2.710521120818884,51,0.7017362901839435,1.038679731820526
career_value_index,1445,105,6.77,0.7009943158445189,0.7120680581442598,0.10260360552664786,0.3118374448973237,0.6349775580046688,0.7759132005865413,0.9681540964935191,-0.4574644627527855,8,0.42357409413186003,0.9873166644593501
