Category,File Name,File Path,File Extension,File Size KB,Modified Time
Raw Data,.gitkeep,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/.gitkeep,,0.0,2026-07-26 17:15:32
Raw Data,DataScience_DeepDive_Framework.xlsx,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/DataScience_DeepDive_Framework.xlsx,.xlsx,15.79,2026-07-18 12:43:19
Raw Data,DataScience_DeepDive_Framework.xlsx:Zone.Identifier,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/DataScience_DeepDive_Framework.xlsx:Zone.Identifier,.Identifier,0.02,2026-07-26 12:38:15
Raw Data,DataScience_Projects_By_Modality.xlsx,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/DataScience_Projects_By_Modality.xlsx,.xlsx,10.17,2026-07-18 12:43:19
Raw Data,DataScience_Projects_By_Modality.xlsx:Zone.Identifier,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/DataScience_Projects_By_Modality.xlsx:Zone.Identifier,.Identifier,0.02,2026-07-26 12:38:15
Raw Data,DataScience_Projects_By_Modality_Expanded.xlsx,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/DataScience_Projects_By_Modality_Expanded.xlsx,.xlsx,11.55,2026-07-18 12:43:19
Raw Data,DataScience_Projects_By_Modality_Expanded.xlsx:Zone.Identifier,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/DataScience_Projects_By_Modality_Expanded.xlsx:Zone.Identifier,.Identifier,0.02,2026-07-26 12:38:15
Raw Data,GraduateEmploymentSurveyNTUNUSSITSMUSUSSSUTD.csv:Zone.Identifier,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/GraduateEmploymentSurveyNTUNUSSITSMUSUSSSUTD.csv:Zone.Identifier,.Identifier,0.02,2026-07-26 12:38:17
Raw Data,GraduateEmploymentSurveyNTUNUSSITSMUSUSSSUTD.xlsx,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/GraduateEmploymentSurveyNTUNUSSITSMUSUSSSUTD.xlsx,.xlsx,109.9,2026-07-18 19:05:18
Raw Data,GraduateEmploymentSurveyNTUNUSSITSMUSUSSSUTD.xlsx:Zone.Identifier,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/data/raw/GraduateEmploymentSurveyNTUNUSSITSMUSUSSSUTD.xlsx:Zone.Identifier,.Identifier,0.02,2026-07-26 12:38:15
