Target Variable,Split Strategy,Model,Total Records Used,Training Records,Testing Records,Training High Outcome Count,Testing High Outcome Count,Training Degree Groups,Testing Degree Groups,Split Seed,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC AUC
high_employment,Random stratified context-only split,Baseline Majority Class,1445,1083,362,271,91,,,42,0.7486187845303868,0.5,0.0,0.0,0.0,0.5
high_employment,Random stratified context-only split,Logistic Regression,1445,1083,362,271,91,,,42,0.7596685082872928,0.7117513482827136,0.5185185185185185,0.6153846153846154,0.5628140703517588,0.7949799278212563
high_employment,Random stratified context-only split,Decision Tree,1445,1083,362,271,91,,,42,0.5524861878453039,0.6536636794939378,0.3436123348017621,0.8571428571428571,0.49056603773584906,0.6734722841733912
high_employment,Random stratified context-only split,Random Forest,1445,1083,362,271,91,,,42,0.6933701657458563,0.6966668018328535,0.43243243243243246,0.7032967032967034,0.5355648535564853,0.7545922711974373
high_employment,Degree-grouped context-only split,Baseline Majority Class,1445,1052,393,261,101,272.0,91.0,42,0.7430025445292621,0.5,0.0,0.0,0.0,0.5
high_employment,Degree-grouped context-only split,Logistic Regression,1445,1052,393,261,101,272.0,91.0,42,0.7302798982188295,0.7051573308015733,0.48175182481751827,0.6534653465346535,0.5546218487394958,0.75183100501831
high_employment,Degree-grouped context-only split,Decision Tree,1445,1052,393,261,101,272.0,91.0,42,0.6132315521628499,0.6717245354672454,0.3791469194312796,0.7920792079207921,0.5128205128205128,0.7563746100637461
high_employment,Degree-grouped context-only split,Random Forest,1445,1052,393,261,101,272.0,91.0,42,0.544529262086514,0.5024413400244134,0.25925925925925924,0.4158415841584158,0.3193916349809886,0.6066899498168994
high_salary,Random stratified context-only split,Baseline Majority Class,1445,1083,362,271,91,,,42,0.7486187845303868,0.5,0.0,0.0,0.0,0.5
high_salary,Random stratified context-only split,Logistic Regression,1445,1083,362,271,91,,,42,0.8756906077348067,0.8987267345200924,0.6825396825396826,0.945054945054945,0.7926267281105991,0.9573415514374924
high_salary,Random stratified context-only split,Decision Tree,1445,1083,362,271,91,,,42,0.8259668508287292,0.7961761485746726,0.6320754716981132,0.7362637362637363,0.6802030456852792,0.8469445683467823
high_salary,Random stratified context-only split,Random Forest,1445,1083,362,271,91,,,42,0.8176795580110497,0.8453833988889339,0.5899280575539568,0.9010989010989011,0.7130434782608696,0.8994160820729087
high_salary,Degree-grouped context-only split,Baseline Majority Class,1445,1052,393,264,98,272.0,91.0,42,0.7506361323155216,0.5,0.0,0.0,0.0,0.5
high_salary,Degree-grouped context-only split,Logistic Regression,1445,1052,393,264,98,272.0,91.0,42,0.8371501272264631,0.8301971636112072,0.6349206349206349,0.8163265306122449,0.7142857142857143,0.9078346592874438
high_salary,Degree-grouped context-only split,Decision Tree,1445,1052,393,264,98,272.0,91.0,42,0.8193384223918575,0.7706329989622968,0.6285714285714286,0.673469387755102,0.6502463054187192,0.8601867865790384
high_salary,Degree-grouped context-only split,Random Forest,1445,1052,393,264,98,272.0,91.0,42,0.7938931297709924,0.797976478727084,0.5602836879432624,0.8061224489795918,0.6610878661087866,0.8780698720166032
high_career_value,Random stratified context-only split,Baseline Majority Class,1445,1083,362,271,91,,,42,0.7486187845303868,0.5,0.0,0.0,0.0,0.5
high_career_value,Random stratified context-only split,Logistic Regression,1445,1083,362,271,91,,,42,0.8121546961325967,0.8124974656339969,0.592,0.8131868131868132,0.6851851851851852,0.9022748469242934
high_career_value,Random stratified context-only split,Decision Tree,1445,1083,362,271,91,,,42,0.7458563535911602,0.6222375410567292,0.4927536231884058,0.37362637362637363,0.425,0.6696403227768541
high_career_value,Random stratified context-only split,Random Forest,1445,1083,362,271,91,,,42,0.7071823204419889,0.698592919995134,0.4460431654676259,0.6813186813186813,0.5391304347826087,0.8293662057499697
high_career_value,Degree-grouped context-only split,Baseline Majority Class,1445,1052,393,258,104,272.0,91.0,42,0.7353689567430025,0.5,0.0,0.0,0.0,0.5
high_career_value,Degree-grouped context-only split,Logistic Regression,1445,1052,393,258,104,272.0,91.0,42,0.7913486005089059,0.731950359329252,0.6057692307692307,0.6057692307692307,0.6057692307692307,0.8199194836305563
high_career_value,Degree-grouped context-only split,Decision Tree,1445,1052,393,258,104,272.0,91.0,42,0.44274809160305345,0.5749434389140271,0.3037542662116041,0.8557692307692307,0.44836272040302266,0.6603340431195103
high_career_value,Degree-grouped context-only split,Random Forest,1445,1052,393,258,104,272.0,91.0,42,0.648854961832061,0.6012110726643598,0.37681159420289856,0.5,0.4297520661157025,0.6612490018631887
