,employment_rate_overall,employment_rate_ft_perm,employment_premium,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,salary_iqr,salary_premium,stability_score,career_value_index
employment_rate_overall,1.0,0.7176682176477128,-0.3163504633003677,0.19130083190588296,0.18184388590400832,0.21161174093779742,0.16273795402583413,0.034942199368383074,0.07275197019304536,-0.034942199368382124,0.8590260495849407
employment_rate_ft_perm,0.7176682176477128,1.0,-0.8876551818826623,0.316486699475744,0.3139639118375667,0.3591986129929025,0.2754294439374634,0.057715461862288646,0.07477353046826678,-0.05771546186228874,0.9125153410365157
employment_premium,-0.3163504633003677,-0.8876551818826623,1.0,-0.3046259487649359,-0.3074430431068396,-0.34937845303115556,-0.26758438146301633,-0.05551546327499521,-0.05374959851160003,0.05551546327499589,-0.6750025114854247
gross_monthly_mean,0.19130083190588296,0.316486699475744,-0.3046259487649359,1.0,0.9626146466845337,0.9294300393093062,0.9784891874400952,0.6741832560175508,0.33844248898998747,-0.6741832560175502,0.4984786976051957
gross_monthly_median,0.18184388590400832,0.3139639118375667,-0.3074430431068396,0.9626146466845337,1.0,0.9675952892324295,0.9364960055767484,0.5396178176572799,0.0709002105541027,-0.5396178176572792,0.5219641332996376
gross_mthly_25_percentile,0.21161174093779742,0.3591986129929025,-0.34937845303115556,0.9294300393093062,0.9675952892324295,1.0,0.8850790312536525,0.3942411653434267,0.061269623366647714,-0.3942411653434258,0.5630915484489337
gross_mthly_75_percentile,0.16273795402583413,0.2754294439374634,-0.26758438146301633,0.9784891874400952,0.9364960055767484,0.8850790312536525,1.0,0.7766779219956028,0.3499630420267898,-0.7766779219956016,0.4444257456487105
salary_iqr,0.034942199368383074,0.057715461862288646,-0.05551546327499521,0.6741832560175508,0.5396178176572799,0.3942411653434267,0.7766779219956028,1.0,0.6080792722215844,-1.0000000000000013,0.1154608314850985
salary_premium,0.07275197019304536,0.07477353046826678,-0.05374959851160003,0.33844248898998747,0.0709002105541027,0.061269623366647714,0.3499630420267898,0.6080792722215844,1.0,-0.6080792722215838,0.022382048043147963
stability_score,-0.034942199368382124,-0.05771546186228874,0.05551546327499589,-0.6741832560175502,-0.5396178176572792,-0.3942411653434258,-0.7766779219956016,-1.0000000000000013,-0.6080792722215838,1.0,-0.11546083148509784
career_value_index,0.8590260495849407,0.9125153410365157,-0.6750025114854247,0.4984786976051957,0.5219641332996376,0.5630915484489337,0.4444257456487105,0.1154608314850985,0.022382048043147963,-0.11546083148509784,1.0
